Z (cm),Phi (Volts) [Te=10.0eV]
1.7989949748743719,19.847983752517138
1.8090452261306533,18.93978964594099
1.8190954773869348,18.021695601097463
1.829145728643216,17.093910656332834
1.8391959798994975,16.156633152127853
1.849246231155779,15.210051581116533
1.8592964824120604,14.254345347909858
1.8693467336683418,13.289685450564619
1.879396984924623,12.31623509370127
1.8894472361809045,11.334150241764771
1.899497487437186,10.343580119674275
1.9095477386934674,9.344667667068354
1.9195979899497488,8.337549951485986
1.92964824120603,7.322358545094723
1.9396984924623115,6.299219868963295
1.949748743718593,5.2682555083563365
1.9597989949748744,4.229582502085707
1.9698492462311559,3.1833136085763014
1.9798994974874373,2.1295575509800813
1.9899497487437185,1.068419243394354
2.0,0.0
