Z (cm),U (eV)
1.1264080100125158,-0.0960821813784084
1.1289111389236546,-0.09629569733702709
1.1314142678347936,-0.09650921329564578
1.1339173967459324,-0.09672272925426445
1.1364205256570714,-0.09693624521288315
1.1389236545682102,-0.09714976117150181
1.1414267834793492,-0.09736327713012051
1.1439299123904882,-0.0975767930887392
1.146433041301627,-0.09779030904735789
1.148936170212766,-0.09800382500597657
1.1514392991239049,-0.09821734096459525
1.1539424280350439,-0.09843085692321395
1.1564455569461827,-0.09864437288183261
1.1589486858573217,-0.09885788884045131
1.1614518147684607,-0.09907140479907
1.1639549436795995,-0.09928492075768867
1.1664580725907385,-0.09949843671630737
1.1689612015018773,-0.09971195267492605
1.1714643304130163,-0.09992546863354473
1.1739674593241551,-0.10013898459216342
1.1764705882352942,-0.10035250055078211
1.1789737171464332,-0.10056601650940081
1.181476846057572,-0.10077953246801948
1.183979974968711,-0.10099304842663817
1.1864831038798498,-0.10120656438525684
1.1889862327909888,-0.10142008034387553
1.1914893617021276,-0.10163359630249422
1.1939924906132666,-0.1018471122611129
1.1964956195244056,-0.1020606282197316
1.1989987484355444,-0.10227414417835028
1.2015018773466835,-0.10248766013696897
1.2040050062578223,-0.10270117609558764
1.2065081351689613,-0.10291469205420634
1.2090112640801,-0.103128208012825
1.211514392991239,-0.1033417239714437
1.214017521902378,-0.1035552399300624
1.216520650813517,-0.10376875588868106
1.219023779724656,-0.10398227184729976
1.2215269086357947,-0.10419578780591844
1.2240300375469337,-0.10440930376453714
1.2265331664580725,-0.1046228197231558
1.2290362953692116,-0.1048363356817745
1.2315394242803506,-0.1050498516403932
1.2340425531914894,-0.10526336759901186
1.2365456821026284,-0.10547688355763056
1.2390488110137672,-0.10569039951624923
1.2415519399249062,-0.10590391547486792
1.244055068836045,-0.1061174314334866
1.246558197747184,-0.1063309473921053
1.249061326658323,-0.10654446335072398
1.2515644555694618,-0.10675797930934267
1.2540675844806008,-0.10697149526796136
1.2565707133917396,-0.10718501122658003
1.2590738423028787,-0.10739852718519872
1.2615769712140175,-0.1076120431438174
1.2640801001251565,-0.10782555910243609
1.2665832290362955,-0.10803907506105478
1.2690863579474343,-0.10825259101967347
1.2715894868585733,-0.10846610697829215
1.2740926157697121,-0.10867962293691083
1.2765957446808511,-0.10889313889552953
1.27909887359199,-0.1091066548541482
1.281602002503129,-0.10932017081276689
1.284105131414268,-0.10953368677138559
1.2866082603254068,-0.10974720273000425
1.2891113892365458,-0.10996071868862295
1.2916145181476846,-0.11017423464724163
1.2941176470588236,-0.11038775060586033
1.2966207759699624,-0.110601266564479
1.2991239048811014,-0.11081478252309769
1.3016270337922404,-0.11102829848171639
1.3041301627033792,-0.11124181444033505
1.3066332916145182,-0.11145533039895375
1.309136420525657,-0.11166884635757242
1.311639549436796,-0.11188236231619111
1.3141426783479349,-0.1120958782748098
1.3166458072590739,-0.11230939423342849
1.319148936170213,-0.11252291019204717
1.3216520650813517,-0.11273642615066586
1.3241551939924907,-0.11294994210928455
1.3266583229036295,-0.11316345806790322
1.3291614518147685,-0.11337697402652192
1.3316645807259073,-0.11359048998514058
1.3341677096370463,-0.11380400594375928
1.3366708385481854,-0.11401752190237797
1.3391739674593242,-0.11423103786099666
1.3416770963704632,-0.11444455381961534
1.344180225281602,-0.11465806977823402
1.346683354192741,-0.11487158573685272
1.3491864831038798,-0.11508510169547138
1.3516896120150188,-0.11529861765409008
1.3541927409261578,-0.11551213361270878
1.3566958698372966,-0.11572564957132744
1.3591989987484356,-0.11593916552994614
1.3617021276595744,-0.11615268148856482
1.3642052565707135,-0.1163661974471835
1.3667083854818523,-0.11657971340580219
1.3692115143929913,-0.11679322936442088
1.3717146433041303,-0.11700674532303958
1.374217772215269,-0.11722026128165824
1.376720901126408,-0.11743377724027694
1.379224030037547,-0.11764729319889561
